name,popularity,albumName,artistNames,spotifyUri
Het Is Altijd Lente in De Ogen Van De Tandartsassistente,38,Het Is Altijd Lente in De Ogen Van De Tandartsassistente,Peter De Koning,spotify:track:281MUFQzVh0I24vOsCBIDz
A Minha Menina,54,"""Os Mutantes""",Os Mutantes,spotify:track:0lGEWOZvMexZFXckBJxlVO
Showering in Public,0,CORRESPONDENCE,Annika Norlin,spotify:track:3HCOtaf9Ec6FdV2ZSa3SlV
Masterpiece,59,Masterpiece,Big Thief,spotify:track:62aOYUWnWQtWvWLAvvWBZi
Angels,0,Miss Universe,Nilüfer Yanya,spotify:track:5jH2055uE9gP6ykVKWuGbr
GIOVANNI,0,GIOVANNI,Jamila Woods,spotify:track:5q7eaco8nG2Cz4zX4beYjA
Sliding Doors,0,Plant Feed,Nilüfer Yanya,spotify:track:1T21X4tMYC2aYJW7qwH8q9
A Case of You,65,Blue,Joni Mitchell,spotify:track:7shVwhUdVbHpykOfbzvDc1
Reagan,48,R.A.P. Music,Killer Mike,spotify:track:2HRYa6iG1M5DRefO8pK2I3
Baby Luv,0,Do You Like Pain?,Nilüfer Yanya,spotify:track:3ZD9gRzWJtDsC72rMiwqAa
Denk Je Aan Me,13,Denk Je Aan Me,Gerson Main,spotify:track:26MUbJIRoXYmC7pnRiwsTu
4 Degrees,0,HOPELESSNESS,ANOHNI,spotify:track:61ZYkv9MEQZ25jVaIavQOM
Farewell Transmission,3,Farewell Transmission b/w The Dark Don’t Hide It,Kevin Morby,spotify:track:0qvmO0IgFQ1gRNfK2nItIq
