name,popularity,albumName,artistNames,spotifyUri,timePlayed
On I Go,42,Fetch The Bolt Cutters,Fiona Apple,spotify:track:6VU4Ys4rbbbwJ84g1ZuYA5,2022-02-09T10:22:21.020Z
Paper Bag,63,When The Pawn...,Fiona Apple,spotify:track:0IVkP59yJ9GFF6B7IrvrxA,2022-02-09T10:26:01.072Z
zombie girl,56,songs,Adrianne Lenker,spotify:track:3v2OxIsGWJXWfLuRkB59Q6,2022-02-09T10:28:45.406Z
Fetch The Bolt Cutters,51,Fetch The Bolt Cutters,Fiona Apple,spotify:track:4SdubskbLiOkpsIjRVVsya,2022-02-09T11:27:44.451Z
Under The Table,55,Fetch The Bolt Cutters,Fiona Apple,spotify:track:12WhIX6MvI93bS3wPSStSY,2022-02-09T11:31:06.381Z
Relay,47,Fetch The Bolt Cutters,Fiona Apple,spotify:track:5hnOzmFuGltDDAm008jFDh,2022-02-09T11:35:55.081Z
Rack of His,47,Fetch The Bolt Cutters,Fiona Apple,spotify:track:17QLp5uadHptxnmq9clK8U,2022-02-09T11:39:38.386Z
Newspaper,45,Fetch The Bolt Cutters,Fiona Apple,spotify:track:1YsWyCYqpA8uZaR9SfYAnY,2022-02-09T11:45:09.959Z
Sailin' On,51,Bad Brains,Bad Brains,spotify:track:4P8n1pWj2xQnaBjy1rvZ3o,2022-02-09T11:48:36.760Z
Don't Need It,42,Bad Brains,Bad Brains,spotify:track:0TrGNlBKj3oFBpUPurIhBU,2022-02-09T11:49:44.328Z
Attitude,45,Bad Brains,Bad Brains,spotify:track:24DaDLmSzMMmiQIwaU2BxA,2022-02-09T11:51:04.413Z
The Regulator,41,Bad Brains,Bad Brains,spotify:track:0HX8txPQI5ni5gZ13JceRX,2022-02-09T11:52:11.889Z
Banned in D.C.,56,Bad Brains,Bad Brains,spotify:track:0YnP5BtP6lTwQV8gLOzaov,2022-02-09T11:54:24.724Z
Jah Calling,39,Bad Brains,Bad Brains,spotify:track:3JVK9FqWJF1Wk22EMUTeIU,2022-02-09T11:56:56.494Z
Supertouch/Shitfit,42,Bad Brains,Bad Brains,spotify:track:1Ad3HUXowm6ZuiI0RffX3u,2022-02-09T11:59:26.864Z
Leaving Babylon,39,Bad Brains,Bad Brains,spotify:track:4KzYRLRdiqrbceTxFtHygg,2022-02-09T12:03:37.483Z
F.V.K. (Fearless Vampire Killers),37,Bad Brains,Bad Brains,spotify:track:2Jkk7UunDLmtxSeHTgar4Z,2022-02-09T12:04:45.504Z
I,36,Bad Brains,Bad Brains,spotify:track:6LmvV0mpE2HfoUJ1t6cBph,2022-02-09T12:06:50.649Z
Big Take Over,44,Bad Brains,Bad Brains,spotify:track:2z83t0gfxu3Dnb0XUDBR3B,2022-02-09T12:09:47.376Z
A New England,41,Life's a Riot with Spy vs. Spy (30th Anniversary Edition),Billy Bragg,spotify:track:0tLuGOBe8BjapO9GcX9WXb,2022-02-09T12:12:06.613Z
The Man in the Iron Mask,20,Life's a Riot with Spy vs. Spy (30th Anniversary Edition),Billy Bragg,spotify:track:4QHAWuIQbLRFglqkCYlrPX,2022-02-09T12:14:21.009Z
The Busy Girl Buys Beauty,18,Life's a Riot with Spy vs. Spy (30th Anniversary Edition),Billy Bragg,spotify:track:1jhR0vhPNVj3TlhLUAO9oB,2022-02-09T12:16:20.267Z
Lovers Town Revisited,18,Life's a Riot with Spy vs. Spy (30th Anniversary Edition),Billy Bragg,spotify:track:3VtKBUOebzW57czX5035GC,2022-02-09T12:17:40.787Z
Going to Georgia,51,Zopilote Machine,The Mountain Goats,spotify:track:1ey9ub4AISvEmjM7tkoBh0,2022-02-09T12:20:08.794Z
Come Pick Me Up,55,Heartbreaker,Ryan Adams,spotify:track:0lngUitwRDbvZ5yVO76dVN,2022-02-09T12:25:27.054Z
Some Things Last a Long Time,49,1990,Daniel Johnston,spotify:track:0vzWUTqv0hDXJsH2fUrNlJ,2022-02-09T12:30:22.588Z
Back When I Was 4,38,It's the Ones Who've Cracked That the Light Shines Through,Jeffrey Lewis,spotify:track:0S4d4vdLZHId4ct2fgk0JR,2022-02-09T12:35:05.764Z
